Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,label
2024-03-05 22:00:00,65000.10,65399.70,63753.40,64500.0,4092.251,1709679599999,264182787.21590,1967,1768.133,114846002.27150,0,1
2024-03-05 23:00:00,64500.00,64994.00,64213.70,64666.8,3583.167,1709683199999,231635325.26170,1168,1822.210,118081908.74680,0,1
2024-03-06 00:00:00,64666.80,65500.00,63906.40,65500.0,4945.631,1709686799999,320244876.28180,1844,2981.875,193939473.38080,0,1
2024-03-06 01:00:00,65509.00,65790.70,64406.30,65196.9,4802.323,1709690399999,312363862.34700,1452,2197.843,143705458.81320,0,1
2024-03-06 02:00:00,64406.30,65249.00,64406.30,64559.9,4496.611,1709693999999,291016449.80400,1393,2114.294,137436972.04690,0,1
2024-03-06 03:00:00,64406.60,64832.90,63397.40,64349.7,7228.137,1709697599999,462385649.04170,1825,2676.031,172336967.93690,0,1
2024-03-06 04:00:00,64106.30,64850.10,63600.70,64417.9,4770.929,1709701199999,305998847.55060,1599,2736.261,176379909.37720,0,1
2024-03-06 05:00:00,64106.30,66666.00,63781.00,66000.0,5667.624,1709704799999,371399105.39390,1995,3459.142,227208107.43700,0,2
2024-03-06 06:00:00,65773.00,66599.00,64729.30,65245.0,4524.378,1709708399999,296554978.33570,4086,2237.510,147420416.05410,0,1
2024-03-06 07:00:00,65117.00,66664.00,64471.00,66255.4,4344.398,1709711999999,284679022.26430,4884,2155.475,142192841.59220,0,2
2024-03-06 08:00:00,65379.20,68000.00,65196.90,66538.5,5940.44,1709715599999,397241048.06670,3468,3921.268,262692812.73510,0,2
2024-03-06 09:00:00,67200.00,67585.70,66100.00,66270.5,4419.344,1709719199999,295626523.91720,3320,2174.293,146127914.44490,0,2
2024-03-06 10:00:00,66167.00,66994.00,65900.00,66357.0,4304.463,1709722799999,286520363.36510,3136,2152.873,143712793.81520,0,2
2024-03-06 11:00:00,66429.00,66993.70,66036.40,66666.0,5562.822,1709726399999,370281272.85170,3066,2325.938,155283766.01580,0,2
2024-03-06 12:00:00,66666.00,67000.00,65405.70,65860.3,6258.057,1709729999999,416085836.95710,2721,2683.433,178907453.80480,0,2
2024-03-06 13:00:00,65510.00,66512.00,65353.50,66450.0,3939.89,1709733599999,260058503.02810,1810,1908.194,126175455.48540,0,2
2024-03-06 14:00:00,66450.00,66666.60,65945.30,66050.6,5213.037,1709737199999,346920609.65750,3351,2346.083,156197166.53400,0,2
2024-03-06 15:00:00,66050.60,66666.60,65461.00,66200.1,4014.613,1709740799999,265688262.62730,2572,2175.361,144218772.65610,0,2
2024-03-06 16:00:00,66418.00,66833.20,66200.10,66483.0,4752.073,1709744399999,315976049.05710,2686,2417.550,160968716.22870,0,2
2024-03-06 17:00:00,66429.00,66500.00,66200.00,66423.0,4807.41,1709747999999,318853063.50440,10050,2058.217,136732584.48250,0,2
2024-03-06 18:00:00,66423.00,67070.00,66200.00,66658.0,4515.371,1709751599999,300057031.84280,2655,2302.330,153318813.85220,0,2
2024-03-06 19:00:00,66658.00,66886.80,66250.00,66365.0,3769.604,1709755199999,250922520.80490,2118,1861.059,124175870.22990,0,2
2024-03-06 20:00:00,66461.20,67000.00,66300.00,66929.9,5442.464,1709758799999,362681367.68040,1674,3105.933,207156968.45510,0,2
2024-03-06 21:00:00,66754.00,66993.80,66599.00,66794.0,4084.869,1709762399999,272510447.37800,1110,2053.050,137034289.18550,0,2
2024-03-06 22:00:00,66614.00,66880.00,66200.00,66210.0,4368.858,1709765999999,290708608.41560,2814,2139.114,142740509.70270,0,2
2024-03-06 23:00:00,66428.00,66566.60,66200.00,66210.0,3972.162,1709769599999,263391605.66750,3517,1812.495,120392050.89660,0,2
2024-03-07 00:00:00,66210.00,66673.10,65668.00,66167.0,4906.789,1709773199999,324856489.71490,1870,2370.036,157293943.18370,0,2
