Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin
2024-03-15 08:15:00,71793.90,72194.70,71305.70,72150.0,1241.903,2024-03-15 08:29:59.999,89149506.56510,474,450.715,32480111.99450,0,72935.3435,59.46308058753482,Hold,0.0,0.0
2024-03-15 08:30:00,71934.00,72150.00,71351.10,71362.1,1275.191,2024-03-15 08:44:59.999,91412113.49230,744,539.239,38898574.60930,0,72929.87800000001,48.87847074237192,Hold,0.0,0.0
2024-03-15 08:45:00,71644.00,72149.70,70902.20,71000.1,1184.059,2024-03-15 08:59:59.999,84701908.42610,879,622.452,44841131.55260,0,72923.508,49.951605097596385,Hold,0.0,0.0
2024-03-15 09:00:00,71351.80,71969.90,70555.50,70555.5,1159.536,2024-03-15 09:14:59.999,82720122.29920,739,520.319,37382476.29390,0,72912.267,43.270906968189685,Hold,0.0,0.0
2024-03-15 09:15:00,70555.50,71600.00,70555.50,70650.4,1227.129,2024-03-15 09:29:59.999,87066158.45420,592,753.696,53641941.75190,0,72902.4295,45.53214320554084,Hold,0.0,0.0
2024-03-15 09:30:00,71064.00,71648.60,70300.00,70723.5,1362.379,2024-03-15 09:44:59.999,96442221.48980,689,442.281,31586274.63390,0,72892.62700000001,35.87466263422846,Hold,0.0,0.0
2024-03-15 09:45:00,70400.00,71599.70,70399.10,70511.8,1115.965,2024-03-15 09:59:59.999,78985472.95520,715,557.083,39592696.77810,0,72880.8765,35.41438343222087,Hold,0.0,0.0
2024-03-15 10:00:00,70774.00,71599.70,70555.00,70750.0,1083.665,2024-03-15 10:14:59.999,77020466.68020,871,533.568,38122471.59200,0,72868.22649999999,45.090505464480835,Hold,0.0,0.0
2024-03-15 10:15:00,71400.00,71600.00,70750.00,71600.0,873.156,2024-03-15 10:29:59.999,62212515.56110,480,445.665,31873881.70490,0,72859.72649999999,48.97853941052797,Hold,0.0,0.0
2024-03-15 10:30:00,71064.00,71642.50,70624.80,71600.0,990.195,2024-03-15 10:44:59.999,70486605.12330,723,469.407,33590984.38070,0,72849.0205,54.40525237392317,Hold,0.0,0.0
2024-03-15 10:45:00,71354.00,71600.00,70399.10,70992.5,1726.950,2024-03-15 10:59:59.999,122264990.13890,665,449.379,32034304.89740,0,72837.6415,47.583803258145316,Hold,0.0,0.0
2024-03-15 11:00:00,70399.30,71000.00,70300.00,70639.1,1108.670,2024-03-15 11:14:59.999,78185424.47130,476,571.762,40417624.15620,0,72821.91699999999,40.93363219959075,Hold,0.0,0.0
2024-03-15 11:15:00,70500.00,70782.90,70100.10,70149.2,1561.529,2024-03-15 11:29:59.999,109937290.33320,679,675.484,47697789.97700,0,72805.8665,39.20218028410885,Hold,0.0,0.0
2024-03-15 11:30:00,70100.20,70907.60,70062.20,70118.3,918.792,2024-03-15 11:44:59.999,64633937.74530,420,491.361,34675131.27190,0,72789.08649999999,32.257134026990755,Hold,0.0,0.0
2024-03-15 11:45:00,70118.30,70600.00,70063.00,70063.0,959.280,2024-03-15 11:59:59.999,67464640.44880,464,484.703,34186127.82450,0,72772.32149999999,27.312258120624392,Hold,0.0,0.0
2024-03-15 12:00:00,70063.00,70599.80,69990.00,70500.0,1936.784,2024-03-15 12:14:59.999,136335942.25560,632,1316.049,92882452.51400,0,72758.91699999999,39.85406614099087,Hold,0.0,0.0
